2015-09-22 11:37:33,241 [pool-1-thread-1] INFO  marytts.R 1 New request (input type "SSML", output type "REALISED_ACOUSTPARAMS", voice "cmu-slt", audio "WAVE")
2015-09-22 11:37:33,242 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:33,242 [pool-1-thread-1] INFO  marytts.R 1 - SSMLParser (marytts.modules.SSMLParser)
2015-09-22 11:37:33,242 [pool-1-thread-1] INFO  marytts.R 1 Next module: SSMLParser
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 Handling request using the following modules:
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - XML2Utt TokensEn (marytts.language.en.XML2UttTokensEn)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - TokenToWords (marytts.language.en.FreeTTSTokenToWords)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - Utt2XML WordsEn (marytts.language.en.Utt2XMLWordsEn)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2015-09-22 11:37:33,244 [pool-1-thread-1] INFO  marytts.R 1 - Realised acoustparams extractor (marytts.modules.RealisedAcoustparamsExtractor)
